49	84	83	6	14
53	46	66	23	43
13	89	34	73	90
84	32	84	84	15
72	68	8	31	8
68	61	54	14	64
70	96	42	14	82
69	93	39	27	53
99	67	3	65	23
41	45	25	26	71
82	14	89	2	74
77	63	92	38	4
97	18	39	92	76
89	88	99	34	99
33	62	35	82	18
35	65	8	94	95
7	75	72	62	97
80	18	71	99	21
64	90	34	51	36
81	21	13	82	92
7	58	62	3	11
97	6	90	61	11
89	27	75	3	98
85	59	79	98	62
11	30	92	74	44
36	52	69	30	38
58	75	35	78	67
2	51	25	7	2
24	26	80	97	48
71	46	74	95	87
53	25	80	98	99
27	34	55	64	49
91	9	14	66	100
59	15	78	96	53
26	49	68	84	40
2	97	97	93	54
42	15	51	46	55
82	10	82	16	60
54	53	30	33	96
32	95	77	4	100
86	35	81	3	20
9	32	62	99	68
33	7	77	25	1
57	95	13	68	28
81	13	73	66	77
40	47	90	58	25
35	55	4	98	76
72	10	19	92	38
79	21	3	88	14
3	22	33	1	44
9	60	84	14	90
91	21	16	29	95
14	86	76	97	5
96	20	1	26	16
47	33	10	59	15
33	66	29	59	53
98	91	23	21	66
54	20	93	23	53
46	67	67	38	12
7	38	83	88	52
70	29	6	28	94
16	92	56	27	77
81	94	67	31	8
56	58	67	50	49
66	59	13	30	42
77	31	43	3	14
47	68	89	98	51
28	56	99	63	88
23	53	5	60	68
52	18	83	37	24
17	75	78	19	30
12	68	59	11	87
5	70	82	89	72
14	31	88	82	5
12	24	52	94	20
92	99	76	30	53
90	83	46	25	71
67	22	15	98	35
4	48	40	31	20
12	79	88	38	15
41	88	10	90	42
44	23	90	38	92
65	13	7	23	96
23	11	1	31	42
26	38	15	94	86
77	5	65	24	30
92	79	8	30	70
55	6	49	97	77
9	85	35	63	93
36	32	22	38	69
60	23	99	14	69
16	56	66	88	55
49	74	54	11	27
33	23	69	99	38
83	53	37	63	98
95	8	47	52	83
65	88	87	14	37
89	1	65	43	96
63	100	100	32	25
65	31	35	84	50
66	41	61	41	35
36	96	30	56	53
93	51	53	1	33
47	83	12	77	21
89	85	100	52	57
59	55	50	14	60
21	83	61	82	30
59	64	55	64	70
46	28	24	28	89
65	19	37	96	94
99	79	27	9	4
75	31	90	54	70
17	3	34	86	41
62	98	62	78	7
60	37	62	25	4
90	2	34	11	79
95	95	70	47	27
92	80	13	38	58
19	92	99	6	66
22	62	6	54	83
31	24	38	93	68
67	88	99	67	65
56	99	69	100	61
33	26	29	51	75
80	27	99	61	11
35	45	18	87	56
31	11	85	18	70
12	18	64	25	36
